t,tk,gt_u,gt_v,gt_mag,P_t_u,P_t_v,P_tk_u,P_tk_v,P_t_u_sign_match,P_t_v_sign_match,P_tk_u_sign_match,P_tk_v_sign_match
34,54,0.013062434944822898,0.018103395061537197,0.022323980815298596,0.03449052572250366,-0.0028572827577590942,-0.018710467964410782,-0.020304009318351746,1,0,0,0
35,55,0.01077868838603735,0.02988566045242538,0.03176999880391812,0.051800694316625595,0.006726205348968506,-0.01310732588171959,-0.010101079940795898,1,1,0,0
36,56,0.009134500077850272,0.040680777579161415,0.04169370163606787,0.06139539182186127,-0.0011886060237884521,-0.011689443141222,-0.023327216506004333,1,0,0,0
37,57,0.0081008506668446,0.0489080649653749,0.04957441477399253,0.05591437220573425,-0.0020883381366729736,-0.00839664414525032,-0.021408841013908386,1,0,0,0
38,58,0.006797964358588399,0.05372816649614556,0.05415651571563829,0.06068626418709755,0.014018520712852478,-0.014152683317661285,-0.0202978253364563,1,1,0,0
39,59,0.0052774292081456675,0.05539886871925097,0.05564967128761671,0.0608941875398159,0.005802854895591736,-0.013394620269536972,-0.024686694145202637,1,1,0,0
40,60,0.0040817799445704295,0.054565152378529526,0.054717609428848804,0.060026995837688446,0.003411993384361267,-0.009073704481124878,-0.02679745852947235,1,1,0,0
41,61,0.0030032459878854834,0.051303464467378705,0.051391292577822364,0.05766081437468529,0.005041822791099548,-0.011468462646007538,-0.030907899141311646,1,1,0,0
42,62,0.0015378883072515448,0.04645680216639683,0.04648225003131103,0.06639041006565094,0.0056304931640625,-0.015806395560503006,-0.03539110720157623,1,1,0,0
43,63,0.000136309088364317,0.04018687606097752,0.040187107232394055,0.055364951491355896,0.005293518304824829,-0.015443209558725357,-0.06330528855323792,1,1,0,0
44,64,-0.0010660602540672748,0.03228709379492609,0.032304688671888744,0.055785175412893295,-0.001103907823562622,-0.013368889689445496,-0.05889803171157837,0,0,1,0
45,65,-0.0018147123834022505,0.023109992979262056,0.023181133633539474,0.044172514230012894,-0.010449990630149841,-0.02281767874956131,-0.08984561264514923,0,0,1,0
46,66,-0.002181273668719841,0.013115236022955667,0.013295389078762777,0.046021513640880585,-0.007470905780792236,-0.01803135871887207,-0.09360124170780182,0,0,1,0
47,67,-0.002588770676085872,0.0019164014776803795,0.003220920402154894,0.04692403972148895,-0.007003486156463623,-0.02228483557701111,-0.11879931390285492,0,0,1,0
48,68,-0.0029345324697447883,-0.010948452517886675,0.01133490597016162,0.030677268281579018,-0.004038587212562561,-0.019079916179180145,-0.11695337295532227,0,1,1,1
49,69,-0.002996527266595078,-0.02593482809941257,0.026107364558789297,0.043087903410196304,-0.000401914119720459,-0.02133779227733612,-0.13208040595054626,0,1,1,1
50,70,-0.003352393113105645,-0.04327165474904811,0.04340132076683399,0.03888876736164093,-0.008381590247154236,-0.023308653384447098,-0.12966591119766235,0,1,1,1
51,71,-0.003787854700079224,-0.06194544425099343,0.062061146514400194,0.03322068974375725,-0.013014301657676697,-0.021699078381061554,-0.13927824795246124,0,1,1,1
52,72,-0.00405216161212979,-0.08004922201184268,0.08015171837479279,0.041885651648044586,-0.02928037941455841,-0.02754368633031845,-0.15393057465553284,0,1,1,1
53,73,-0.004020752464237359,-0.0965887108515069,0.09667236168799581,0.03816133737564087,-0.025468260049819946,-0.04397711157798767,-0.17895543575286865,0,1,1,1
54,74,-0.0036048159240918143,-0.11208840362986394,0.1121463549391503,0.040390051901340485,-0.00705428421497345,-0.030829407274723053,-0.16064493358135223,0,1,1,1
55,75,-0.0028762376812827006,-0.12696532291809015,0.1269978974900535,0.034852392971515656,-0.016031235456466675,-0.0321490541100502,-0.17331291735172272,0,1,1,1
56,76,-0.001848293791866823,-0.14000547429237634,0.14001767396216203,0.03634296730160713,-0.009653672575950623,-0.021729040890932083,-0.16830874979496002,0,1,1,1
57,77,-0.001258145506856545,-0.14966200559342582,0.14966729384993585,0.04136956110596657,-0.009779497981071472,-0.025500446557998657,-0.16383808851242065,0,1,1,1
58,78,-0.0015966289299813308,-0.15542512352096238,0.1554333241150252,0.046937812119722366,-0.010388702154159546,-0.01828908547759056,-0.14842461049556732,0,1,1,1
59,79,-0.003179694964257962,-0.15767075350477203,0.1577028121842737,0.04919050261378288,0.0017101317644119263,-0.03311273083090782,-0.1316957324743271,0,0,1,1
60,80,-0.004644874810268901,-0.15743934348033545,0.1575078465903274,0.04296629875898361,-0.005818665027618408,-0.03628960996866226,-0.14659002423286438,0,1,1,1
61,81,-0.006013100395943494,-0.1544175121934123,0.15453454451472762,0.04535211622714996,0.004883617162704468,-0.03436931595206261,-0.14702308177947998,0,0,1,1
62,82,-0.006991788644852948,-0.14909960398898586,0.14926344836605748,0.04801531508564949,0.008720055222511292,-0.02901054546236992,-0.14873822033405304,0,0,1,1
63,83,-0.007873951363172038,-0.14205211802968226,0.14227017729232075,0.0481337271630764,0.026449143886566162,-0.03948323801159859,-0.15101489424705505,0,0,1,1
64,84,-0.008838864952271153,-0.13393510775156964,0.1342264453156272,0.04502296820282936,0.02936723828315735,-0.031097594648599625,-0.14843353629112244,0,0,1,1
65,85,-0.009188529303851972,-0.12348991682782667,0.12383129099266992,0.055382974445819855,0.05705602467060089,-0.027823392301797867,-0.13788476586341858,0,0,1,1
66,86,-0.008656941552111108,-0.10993986425851446,0.11028017224423098,0.03708655387163162,0.0679468959569931,-0.026721160858869553,-0.14709512889385223,0,0,1,1
67,87,-0.008118209170084684,-0.09379256168794543,0.09414324164865101,0.047594841569662094,0.0923050045967102,-0.025947779417037964,-0.14665985107421875,0,0,1,1
68,88,-0.007624030953670369,-0.07539771453257206,0.07578219582934868,0.038312878459692,0.08176694810390472,-0.02913457155227661,-0.13310033082962036,0,0,1,1
69,89,-0.007422813677547019,-0.054960873476410196,0.055459857340075705,0.03662068769335747,0.0881359726190567,-0.01487160474061966,-0.1093212366104126,0,0,1,1
