task_id,demo,T,rho
1,demo_23,109,0.8046056899267908
1,demo_25,143,0.934891852352366
1,demo_26,145,0.9468565850198735
1,demo_27,116,0.891707575863183
1,demo_29,120,0.9366951467045626
1,demo_30,154,0.9566761707878859
1,demo_31,120,0.9641466912576055
1,demo_32,150,0.8834239449304063
1,demo_33,117,0.893245240536493
1,demo_34,120,0.8696478023784393
1,demo_35,137,0.6685358255469914
1,demo_36,120,0.8186577076642574
1,demo_37,129,0.8618738819320216
1,demo_38,143,0.9303816818974613
1,demo_39,124,0.8808210254049139
1,demo_4,142,0.9748486455109171
1,demo_40,126,0.9544461259045243
1,demo_41,112,0.894292206239109
1,demo_42,137,0.9706302387664046
1,demo_43,135,0.9073150269675886
1,demo_44,126,0.7749409444608184
1,demo_45,133,0.975191477317924
1,demo_46,134,0.9187668643449668
1,demo_47,133,0.949969904408239
1,demo_48,141,0.9052613553662399
1,demo_49,127,0.7030029981655316
1,demo_5,155,0.8036579637916962
1,demo_6,145,0.9563461408105451
1,demo_7,131,0.90522435765562
1,demo_8,152,0.9706035624293351
1,demo_9,127,0.9597451483014448
2,demo_0,103,0.9821337865591501
2,demo_1,123,0.9770027472881816
2,demo_10,109,0.9640163098878696
2,demo_11,101,0.9806988934187536
2,demo_12,124,0.9892132009661359
2,demo_13,122,0.9798047389400413
2,demo_14,114,0.9874344129025591
2,demo_15,136,0.9203423508979738
2,demo_16,105,0.9900062201948994
2,demo_17,164,0.8558993427697468
2,demo_18,107,0.9720018025431533
2,demo_19,98,0.9969779851959526
2,demo_2,122,0.9791818809666216
2,demo_20,117,0.9871869801735377
2,demo_21,108,0.9675517067268761
2,demo_22,117,0.9713597425546162
2,demo_23,117,0.9929434332124522
2,demo_24,106,0.9678186457915329
2,demo_25,117,0.9716108656127314
2,demo_26,143,0.9391425144692417
2,demo_27,125,0.961566702206388
2,demo_28,111,0.9821604071604071
2,demo_29,110,0.9789801838948838
2,demo_3,102,0.9835115436158122
2,demo_30,115,0.9748539707546207
2,demo_31,122,0.962771793012989
2,demo_32,119,0.991188886153325
2,demo_33,121,0.943259720905026
2,demo_34,131,0.9469517614718017
2,demo_35,140,0.9780378496407081
2,demo_36,121,0.992174150140547
2,demo_37,129,0.991910755568375
2,demo_38,114,0.99535245408854
2,demo_39,115,0.9868381598674348
2,demo_4,111,0.9707506378371853
2,demo_40,108,0.9853834666720018
2,demo_41,106,0.954233317379147
2,demo_42,138,0.9875339335006129
2,demo_43,93,0.9731766180449444
2,demo_44,100,0.9839333451389773
2,demo_45,126,0.9765323982499146
2,demo_46,125,0.9893333005678041
2,demo_47,117,0.9452092516187431
2,demo_48,131,0.9651897720600011
2,demo_49,135,0.9273299946286612
2,demo_5,111,0.9899350207844527
2,demo_6,109,0.9910272241413496
2,demo_7,123,0.9805174704311825
2,demo_8,111,0.9733678483678483
2,demo_9,110,0.9851588035074275
3,demo_0,99,0.8808314187779239
3,demo_1,101,0.8302518659478094
3,demo_10,89,0.8010725229826354
3,demo_11,97,0.8849469082015134
3,demo_12,93,0.8504222494106412
3,demo_13,99,0.9562058015067405
3,demo_14,100,0.9236603660366035
3,demo_15,119,0.8108866452203517
3,demo_16,101,0.8936167734420501
3,demo_17,94,0.8600110537608174
3,demo_19,100,0.8985052415717814
3,demo_2,95,0.9396976483762598
3,demo_20,96,0.9172273467173088
3,demo_21,96,0.965938455926015
3,demo_22,96,0.9284282705841184
3,demo_23,97,0.9395644855880495
3,demo_24,96,0.8263700488334238
3,demo_25,98,0.9000277337731458
3,demo_26,92,0.8780453972808319
3,demo_27,101,0.9318955500783545
3,demo_28,95,0.8696528555431131
3,demo_29,106,0.9633725470438572
3,demo_3,115,0.8806180080069371
3,demo_30,86,0.9373976951738578
3,demo_31,99,0.92143475572047
3,demo_32,99,0.9047742733457018
3,demo_33,111,0.8313812552258844
3,demo_34,89,0.8600564353858767
3,demo_35,101,0.862722372520759
3,demo_36,92,0.9779062151101451
3,demo_37,97,0.7935251420155691
3,demo_38,97,0.9717941300231432
3,demo_39,92,0.9534546799623939
3,demo_4,103,0.7896916047972586
