epoch,mode,r2,mse,cosine_sim,train_samples,eval_samples,embed_dim,source_file
16,patch_mean_concat_enc_d_prime,0.205187013915895,0.0011987698962911963,0.23076200485229492,180921,40914,1536,probe_v11_checkpoint_epoch0016_patch_mean_concat_enc_d_prime_gap10_test_20260426_165011.json
16,patch_mean_concat_enc_only,0.21135642822865652,0.0011894649360328913,0.23654070496559143,180921,40914,1536,probe_v11_checkpoint_epoch0016_patch_mean_concat_enc_only_gap10_test_20260426_165010.json
16,patch_mean_concat_enc_phase3,0.21725076471351756,0.0011805748799815774,0.22989840805530548,180921,40914,1536,probe_v11_checkpoint_epoch0016_patch_mean_concat_enc_phase3_gap10_test_20260426_165011.json
16,patch_mean_concat_p_enc_d_prime,0.07915867287811029,0.001388851087540388,0.17847611010074615,180921,40914,1536,probe_v11_checkpoint_epoch0016_patch_mean_concat_p_enc_d_prime_gap10_test_20260426_165011.json
16,patch_mean_m_enc,0.21254185651097657,0.0011876770295202732,0.22719258069992065,180921,40914,768,probe_v11_checkpoint_epoch0016_patch_mean_m_enc_gap10_test_20260426_165018.json
16,patch_mean_p_enc,-0.0009416167826272748,0.0015096616698428988,0.054542869329452515,180921,40914,768,probe_v11_checkpoint_epoch0016_patch_mean_p_enc_gap10_test_20260426_165017.json
16,patch_mean_p_features_tk,0.04738163384339089,0.0014367784606292844,0.1317344307899475,180921,40914,768,probe_v11_checkpoint_epoch0016_patch_mean_p_features_tk_gap10_test_20260426_165018.json
16,patch_mean_p_state_after_routing,0.07709938069305367,0.001391956931911409,0.1741655319929123,180921,40914,768,probe_v11_checkpoint_epoch0016_patch_mean_p_state_after_routing_gap10_test_20260426_165010.json
20,cls_concat_enc,0.1618634099637365,0.001264112303033471,0.216006800532341,180921,40914,1536,probe_v11_checkpoint_epoch0020_cls_concat_enc_gap10_test_20260426_165011.json
20,cls_m_enc,0.17234208384893124,0.00124830799177289,0.21035148203372955,180921,40914,768,probe_v11_checkpoint_epoch0020_cls_m_enc_gap10_test_20260426_165009.json
20,cls_p_enc,-0.009334622662271697,0.0015223203226923943,-0.01752345822751522,180921,40914,768,probe_v11_checkpoint_epoch0020_cls_p_enc_gap10_test_20260426_165009.json
20,patch_mean_concat_all,0.18499984010392556,0.001229217043146491,0.24420270323753357,180921,40914,2304,probe_v11_checkpoint_epoch0020_patch_mean_concat_all_gap10_test_20260426_170035.json
20,patch_mean_concat_enc_d_prime,0.19638760060214144,0.0012120415922254324,0.24674786627292633,180921,40914,1536,probe_v11_checkpoint_epoch0020_patch_mean_concat_enc_d_prime_gap10_test_20260426_170035.json
20,patch_mean_concat_enc_only,0.21286435586613983,0.0011871906463056803,0.23954559862613678,180921,40914,1536,probe_v11_checkpoint_epoch0020_patch_mean_concat_enc_only_gap10_test_20260426_165726.json
20,patch_mean_concat_enc_phase3,0.2298871455639867,0.0011615161783993244,0.23592162132263184,180921,40914,1536,probe_v11_checkpoint_epoch0020_patch_mean_concat_enc_phase3_gap10_test_20260426_170035.json
20,patch_mean_concat_p_enc_d_prime,0.0874272728044253,0.0013763799797743559,0.18065747618675232,180921,40914,1536,probe_v11_checkpoint_epoch0020_patch_mean_concat_p_enc_d_prime_gap10_test_20260426_170034.json
20,patch_mean_m_enc,0.21974773066989395,0.001176808844320476,0.230803981423378,180921,40914,768,probe_v11_checkpoint_epoch0020_patch_mean_m_enc_gap10_test_20260426_165009.json
20,patch_mean_p_enc,-0.002232823095052794,0.0015116090653464198,0.021767601370811462,180921,40914,768,probe_v11_checkpoint_epoch0020_patch_mean_p_enc_gap10_test_20260426_165613.json
20,patch_mean_p_features_tk,0.05983233990750858,0.001417999854311347,0.1352892518043518,180921,40914,768,probe_v11_checkpoint_epoch0020_patch_mean_p_features_tk_gap10_test_20260426_165956.json
