encoder,task_suite,gap,gap_seconds,view,v11_mode,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6,mse,cosine_sim,n_train_demos,n_eval_demos,n_train_pairs,n_eval_pairs,best_epoch,elapsed_seconds,checkpoint,cell_dir
two-stream-v11,libero_spatial,1,0.05,agentview_rgb,abd_prime,0.6596834654085406,-0.4725772862066706,-0.20862025849578703,0.7410513065375617,-3.7362076488293257,-0.35510371350104064,-0.23683000596384796,0.6599163628131715,0.04838624224066734,0.8072391748428345,396,99,49224,11571,18,172.0210223197937,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_164335
two-stream-v11,libero_spatial,13,0.65,agentview_rgb,abd_prime,0.5931188571332545,0.7535162374596028,0.8645198780175394,0.7760254922398365,0.28228460764293395,0.5553680136020835,0.4405542418894197,0.5930018907318377,0.05748764052987099,0.7502808570861816,396,99,44472,10383,19,155.27836108207703,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_164335
two-stream-v11,libero_spatial,20,1.0,agentview_rgb,abd_prime,0.5552939505997528,0.754918339131716,0.8878517518313784,0.8123751080763114,0.39636648907312866,0.5887683573915186,0.4604153483924843,0.5511748379658441,0.06182001158595085,0.7355313897132874,396,99,41700,9690,20,145.60067892074585,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_164335
two-stream-v11,libero_spatial,40,2.0,agentview_rgb,abd_prime,0.3744167318442966,0.7476583593362945,0.928386222770479,0.8576936960325076,0.46512756349826256,0.6582487375443518,0.5482184104693552,0.3259943372851709,0.07029556483030319,0.7203288674354553,396,99,33780,7710,19,119.10585641860962,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_164335
vc1,libero_goal,1,0.05,agentview_rgb,,0.42660708561513994,-1.9860548751028624,-0.006831565152909391,0.11731666225919934,-1.3605216390799058,0.3036874015725306,0.531513283187641,0.4267597834254545,0.0720892995595932,0.6464456915855408,396,99,48794,12981,19,247.74423027038574,,vc1_libero_goal_20260430_165936
vc1,libero_goal,13,0.65,agentview_rgb,,0.607318982085859,0.6158659588422261,0.8625096860042683,0.8067439637751643,0.566366205060554,0.5520520071057813,0.6675792038402362,0.6057001032281508,0.054189857095479965,0.777194619178772,396,99,44042,11793,20,225.88657331466675,,vc1_libero_goal_20260430_165936
vc1,libero_goal,20,1.0,agentview_rgb,,0.6234857782558614,0.7682396449849838,0.8967930131616676,0.8415229448951204,0.6415594098485051,0.628452158135564,0.6516943311145341,0.6180796605359913,0.055912457406520844,0.765970766544342,396,99,41270,11100,20,212.71735429763794,,vc1_libero_goal_20260430_165936
vc1,libero_goal,40,2.0,agentview_rgb,,0.5756722286631186,0.8061014273193099,0.934503896165964,0.9364620664814934,0.7278663012060174,0.7585609913381752,0.7385719350156912,0.5247851808013605,0.07603517919778824,0.7174896001815796,396,99,33350,9120,20,172.94270396232605,,vc1_libero_goal_20260430_165936
vc1,libero_object,1,0.05,agentview_rgb,,0.4614764891471371,-4.236426282707429,0.7510805077286599,0.26463398984799,-6.815085297340544,-0.13408575723353744,-0.37904170689737793,0.46164118604243976,0.07638081163167953,0.6392166614532471,396,99,58203,14591,20,290.1342225074768,,vc1_libero_object_20260430_164335
vc1,libero_object,13,0.65,agentview_rgb,,0.6977785595768822,0.76170001795398,0.9474008953672958,0.932535539219452,0.519328456572415,0.5335402553152389,0.36546541216412287,0.6974092043840656,0.04262484982609749,0.8368357419967651,396,99,53451,13403,20,267.3327443599701,,vc1_libero_object_20260430_164335
