t,tk,gt_u,gt_v,gt_mag,P_t_u,P_t_v,P_tk_u,P_tk_v,P_t_u_sign_match,P_t_v_sign_match,P_tk_u_sign_match,P_tk_v_sign_match
30,50,0.019966650393049457,-0.018912163972313066,0.02750158311868461,-0.1630358099937439,-0.3655177354812622,0.19788198173046112,0.4137119650840759,0,1,1,0
31,51,0.019130527018488608,-0.011868221003436808,0.022512923705985885,-0.1614401787519455,-0.36577269434928894,0.1936626136302948,0.4079802930355072,0,1,1,0
32,52,0.017643842372736945,-0.003351453097646735,0.017959326589260343,-0.1585175096988678,-0.3755631446838379,0.19280163943767548,0.40695446729660034,0,1,1,0
33,53,0.015435684100549879,0.006817060332643647,0.01687402308967461,-0.1605241447687149,-0.3849949240684509,0.19483858346939087,0.3948747217655182,0,0,1,1
34,54,0.013062434944822898,0.018103395061537197,0.022323980815298596,-0.15124408900737762,-0.3923838436603546,0.199112206697464,0.3992087244987488,0,0,1,1
35,55,0.01077868838603735,0.02988566045242538,0.03176999880391812,-0.1572991907596588,-0.38785701990127563,0.19765348732471466,0.4027822017669678,0,0,1,1
36,56,0.009134500077850272,0.040680777579161415,0.04169370163606787,-0.16182151436805725,-0.4065338671207428,0.1991570144891739,0.3860039710998535,0,0,1,1
37,57,0.0081008506668446,0.0489080649653749,0.04957441477399253,-0.16244255006313324,-0.40625378489494324,0.20184849202632904,0.3848077952861786,0,0,1,1
38,58,0.006797964358588399,0.05372816649614556,0.05415651571563829,-0.16400335729122162,-0.4020538926124573,0.20007206499576569,0.377419650554657,0,0,1,1
39,59,0.0052774292081456675,0.05539886871925097,0.05564967128761671,-0.1599496603012085,-0.3991881310939789,0.1957428902387619,0.35736721754074097,0,0,1,1
40,60,0.0040817799445704295,0.054565152378529526,0.054717609428848804,-0.16012075543403625,-0.401704877614975,0.18733996152877808,0.35766470432281494,0,0,1,1
41,61,0.0030032459878854834,0.051303464467378705,0.051391292577822364,-0.16033166646957397,-0.40336406230926514,0.1822701394557953,0.3527854084968567,0,0,1,1
42,62,0.0015378883072515448,0.04645680216639683,0.04648225003131103,-0.16227996349334717,-0.4090293049812317,0.18082745373249054,0.3486277461051941,0,0,1,1
43,63,0.000136309088364317,0.04018687606097752,0.040187107232394055,-0.16400456428527832,-0.41734981536865234,0.18444852530956268,0.3420538306236267,0,0,1,1
44,64,-0.0010660602540672748,0.03228709379492609,0.032304688671888744,-0.16863566637039185,-0.42406055331230164,0.19258198142051697,0.3314933776855469,1,0,0,1
45,65,-0.0018147123834022505,0.023109992979262056,0.023181133633539474,-0.17658153176307678,-0.42413491010665894,0.19212597608566284,0.3349212408065796,1,0,0,1
46,66,-0.002181273668719841,0.013115236022955667,0.013295389078762777,-0.1755952090024948,-0.4190175235271454,0.194199338555336,0.3213511109352112,1,0,0,1
47,67,-0.002588770676085872,0.0019164014776803795,0.003220920402154894,-0.1783357560634613,-0.425685316324234,0.18202580511569977,0.3132115304470062,1,0,0,1
48,68,-0.0029345324697447883,-0.010948452517886675,0.01133490597016162,-0.17169196903705597,-0.42367884516716003,0.17744459211826324,0.3117825388908386,1,1,0,0
49,69,-0.002996527266595078,-0.02593482809941257,0.026107364558789297,-0.17800888419151306,-0.42708858847618103,0.18330471217632294,0.32158032059669495,1,1,0,0
50,70,-0.003352393113105645,-0.04327165474904811,0.04340132076683399,-0.1784677356481552,-0.4228682219982147,0.18869392573833466,0.2845717668533325,1,1,0,0
51,71,-0.003787854700079224,-0.06194544425099343,0.062061146514400194,-0.1824859380722046,-0.41703683137893677,0.18776273727416992,0.2692330479621887,1,1,0,0
52,72,-0.00405216161212979,-0.08004922201184268,0.08015171837479279,-0.18057669699192047,-0.418812096118927,0.180743008852005,0.26414793729782104,1,1,0,0
53,73,-0.004020752464237359,-0.0965887108515069,0.09667236168799581,-0.1758653074502945,-0.41122835874557495,0.17767593264579773,0.25182417035102844,1,1,0,0
54,74,-0.0036048159240918143,-0.11208840362986394,0.1121463549391503,-0.1771678924560547,-0.4022962749004364,0.18977048993110657,0.259138286113739,1,1,0,0
55,75,-0.0028762376812827006,-0.12696532291809015,0.1269978974900535,-0.17713552713394165,-0.4021669328212738,0.19302143156528473,0.271575391292572,1,1,0,0
56,76,-0.001848293791866823,-0.14000547429237634,0.14001767396216203,-0.1799062341451645,-0.3948032557964325,0.18901951611042023,0.2658402919769287,1,1,0,0
57,77,-0.001258145506856545,-0.14966200559342582,0.14966729384993585,-0.18266402184963226,-0.39879828691482544,0.18884097039699554,0.26110154390335083,1,1,0,0
58,78,-0.0015966289299813308,-0.15542512352096238,0.1554333241150252,-0.18433159589767456,-0.39562511444091797,0.20117026567459106,0.2700595259666443,1,1,0,0
59,79,-0.003179694964257962,-0.15767075350477203,0.1577028121842737,-0.18317285180091858,-0.38152268528938293,0.19488897919654846,0.2705668807029724,1,1,0,0
60,80,-0.004644874810268901,-0.15743934348033545,0.1575078465903274,-0.1738731414079666,-0.3774029612541199,0.1954777091741562,0.26721709966659546,1,1,0,0
61,81,-0.006013100395943494,-0.1544175121934123,0.15453454451472762,-0.17106091976165771,-0.37138664722442627,0.18990041315555573,0.27289843559265137,1,1,0,0
62,82,-0.006991788644852948,-0.14909960398898586,0.14926344836605748,-0.17142300307750702,-0.3635985255241394,0.19176025688648224,0.2829554080963135,1,1,0,0
63,83,-0.007873951363172038,-0.14205211802968226,0.14227017729232075,-0.17458505928516388,-0.35955333709716797,0.1921132206916809,0.27986225485801697,1,1,0,0
64,84,-0.008838864952271153,-0.13393510775156964,0.1342264453156272,-0.18309424817562103,-0.35522401332855225,0.1956402063369751,0.281283438205719,1,1,0,0
65,85,-0.009188529303851972,-0.12348991682782667,0.12383129099266992,-0.17757152020931244,-0.35327333211898804,0.19577163457870483,0.2835289537906647,1,1,0,0
66,86,-0.008656941552111108,-0.10993986425851446,0.11028017224423098,-0.17909583449363708,-0.33861786127090454,0.20058582723140717,0.2943907678127289,1,1,0,0
67,87,-0.008118209170084684,-0.09379256168794543,0.09414324164865101,-0.16849586367607117,-0.3231773376464844,0.1945425420999527,0.29889965057373047,1,1,0,0
68,88,-0.007624030953670369,-0.07539771453257206,0.07578219582934868,-0.17427121102809906,-0.32063475251197815,0.19693607091903687,0.26780039072036743,1,1,0,0
69,89,-0.007422813677547019,-0.054960873476410196,0.055459857340075705,-0.1829887181520462,-0.32774510979652405,0.19160160422325134,0.275584876537323,1,1,0,0
