t,tk,gt_u,gt_v,gt_mag,P_t_u,P_t_v,P_tk_u,P_tk_v,P_t_u_sign_match,P_t_v_sign_match,P_tk_u_sign_match,P_tk_v_sign_match
44,64,-0.0010660602540672748,0.03228709379492609,0.032304688671888744,-0.15564149618148804,-0.37248584628105164,0.16659824550151825,0.29510045051574707,1,0,0,1
45,65,-0.0018147123834022505,0.023109992979262056,0.023181133633539474,-0.1631545126438141,-0.3726961016654968,0.16529662907123566,0.29757288098335266,1,0,0,1
46,66,-0.002181273668719841,0.013115236022955667,0.013295389078762777,-0.16225093603134155,-0.3672606348991394,0.16786949336528778,0.28455302119255066,1,0,0,1
47,67,-0.002588770676085872,0.0019164014776803795,0.003220920402154894,-0.16508235037326813,-0.373840868473053,0.15636084973812103,0.2760215103626251,1,0,0,1
48,68,-0.0029345324697447883,-0.010948452517886675,0.01133490597016162,-0.15847010910511017,-0.3722805082798004,0.152683287858963,0.27355238795280457,1,1,0,0
49,69,-0.002996527266595078,-0.02593482809941257,0.026107364558789297,-0.164333313703537,-0.3759481906890869,0.15831100940704346,0.28245726227760315,1,1,0,0
50,70,-0.003352393113105645,-0.04327165474904811,0.04340132076683399,-0.1648547649383545,-0.3723953068256378,0.1616763174533844,0.24552235007286072,1,1,0,0
51,71,-0.003787854700079224,-0.06194544425099343,0.062061146514400194,-0.16934309899806976,-0.36574333906173706,0.1630508005619049,0.22992120683193207,1,1,0,0
52,72,-0.00405216161212979,-0.08004922201184268,0.08015171837479279,-0.16801324486732483,-0.3677774667739868,0.15578557550907135,0.2245958149433136,1,1,0,0
53,73,-0.004020752464237359,-0.0965887108515069,0.09667236168799581,-0.16346058249473572,-0.3600114583969116,0.1512005627155304,0.21210621297359467,1,1,0,0
54,74,-0.0036048159240918143,-0.11208840362986394,0.1121463549391503,-0.16463705897331238,-0.3500535786151886,0.16231109201908112,0.2200145274400711,1,1,0,0
55,75,-0.0028762376812827006,-0.12696532291809015,0.1269978974900535,-0.164901003241539,-0.350776731967926,0.16677628457546234,0.2323712855577469,1,1,0,0
56,76,-0.001848293791866823,-0.14000547429237634,0.14001767396216203,-0.16739793121814728,-0.3434395492076874,0.1629333645105362,0.2268896996974945,1,1,0,0
57,77,-0.001258145506856545,-0.14966200559342582,0.14966729384993585,-0.16974690556526184,-0.3470908999443054,0.16240394115447998,0.22247952222824097,1,1,0,0
58,78,-0.0015966289299813308,-0.15542512352096238,0.1554333241150252,-0.17194712162017822,-0.34392958879470825,0.17417602241039276,0.23126626014709473,1,1,0,0
59,79,-0.003179694964257962,-0.15767075350477203,0.1577028121842737,-0.17125383019447327,-0.32924139499664307,0.16870231926441193,0.231791153550148,1,1,0,0
60,80,-0.004644874810268901,-0.15743934348033545,0.1575078465903274,-0.1621893346309662,-0.3267999291419983,0.16824671626091003,0.22767719626426697,1,1,0,0
61,81,-0.006013100395943494,-0.1544175121934123,0.15453454451472762,-0.15953198075294495,-0.32091569900512695,0.16219410300254822,0.23310038447380066,1,1,0,0
62,82,-0.006991788644852948,-0.14909960398898586,0.14926344836605748,-0.1598276048898697,-0.3123728632926941,0.16412314772605896,0.243201345205307,1,1,0,0
63,83,-0.007873951363172038,-0.14205211802968226,0.14227017729232075,-0.16236093640327454,-0.3089204430580139,0.16350235044956207,0.24039319157600403,1,1,0,0
64,84,-0.008838864952271153,-0.13393510775156964,0.1342264453156272,-0.17144519090652466,-0.30423951148986816,0.16722668707370758,0.24208152294158936,1,1,0,0
65,85,-0.009188529303851972,-0.12348991682782667,0.12383129099266992,-0.16629372537136078,-0.30169206857681274,0.16782668232917786,0.24459631741046906,1,1,0,0
66,86,-0.008656941552111108,-0.10993986425851446,0.11028017224423098,-0.16895270347595215,-0.28751805424690247,0.17296814918518066,0.25548863410949707,1,1,0,0
67,87,-0.008118209170084684,-0.09379256168794543,0.09414324164865101,-0.15747655928134918,-0.27302461862564087,0.1672813892364502,0.2593575716018677,1,1,0,0
68,88,-0.007624030953670369,-0.07539771453257206,0.07578219582934868,-0.16196051239967346,-0.2696555256843567,0.17089591920375824,0.2280634045600891,1,1,0,0
69,89,-0.007422813677547019,-0.054960873476410196,0.055459857340075705,-0.17148929834365845,-0.2772556245326996,0.16564474999904633,0.23736463487148285,1,1,0,0
