encoder,task_suite,view,v11_mode,fraction,n_valid,rho_mean,rho_std,rho_median,rho_min,rho_max,length_cutoff,n_total_trajectories,n_kept_after_length_cutoff,checkpoint,cell_dir
two-stream-v11,libero_goal,agentview_rgb,d_prime_only,1.0,476,0.49574673382395595,0.24041783781744047,0.525102781734117,-0.4019536229061011,0.914188000781708,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_object,agentview_rgb,abd_prime,0.15,476,0.5364646930680351,0.26047968972772384,0.5744360902255639,-0.26491228070175443,0.9789473684210527,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_131634_fracs
two-stream-v11,libero_object,agentview_rgb,abd_prime,0.3,476,0.5903606608368189,0.21385932961867937,0.6249574790983818,-0.24081632653061222,0.9701415701415703,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_131634_fracs
two-stream-v11,libero_object,agentview_rgb,abd_prime,0.5,476,0.6775831803110373,0.19999409834709495,0.7135096141739452,-0.002604673807205453,0.9809138450967666,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_131634_fracs
two-stream-v11,libero_object,agentview_rgb,abd_prime,1.0,476,0.3785978556307085,0.2511655200766824,0.384512069271898,-0.48250511408339875,0.8927831791146795,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_125835
two-stream-v11,libero_object,agentview_rgb,abd_prime,1.0,476,0.3785978556307085,0.2511655200766824,0.384512069271898,-0.48250511408339875,0.8927831791146795,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_131634_fracs
two-stream-v11,libero_object,agentview_rgb,b_only,0.15,476,0.5450365837014965,0.2757816551937729,0.5941723059100902,-0.4994871794871794,0.9638622247317901,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_134233_v11bonly_fracs
two-stream-v11,libero_object,agentview_rgb,b_only,0.3,476,0.3381477270016273,0.2649144954031307,0.35977768872244886,-0.6857584157323972,0.8730714520188204,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_134233_v11bonly_fracs
two-stream-v11,libero_object,agentview_rgb,b_only,0.5,476,0.2785391137957333,0.2582934847626912,0.3092395968661042,-0.5489221189678759,0.8103067733117344,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_134233_v11bonly_fracs
two-stream-v11,libero_object,agentview_rgb,b_only,1.0,476,0.16587575727228307,0.23194763977285252,0.16700103160652108,-0.5305441439510955,0.8061842972833873,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_134233_v11bonly_fracs
two-stream-v11,libero_object,agentview_rgb,d_prime_only,0.15,476,0.5160755569072015,0.26464734797769984,0.5526657552973342,-0.2789473684210526,0.9789473684210527,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_object,agentview_rgb,d_prime_only,0.3,476,0.56536417756673,0.22208439108261055,0.5969717887154862,-0.25795918367346937,0.9691119691119692,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_object,agentview_rgb,d_prime_only,0.5,476,0.6373423598077814,0.21540714455318588,0.6735645819145429,-0.08252190847127557,0.9757605832728937,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_object,agentview_rgb,d_prime_only,1.0,476,0.35175157309569965,0.27495517568151734,0.3502739699764693,-0.5033328088119591,0.8876414237765375,179.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_object_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_spatial,agentview_rgb,abd_prime,0.15,475,0.47546998081065855,0.36249439382212617,0.5421052631578946,-0.4753246753246753,0.9879699248120299,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_131634_fracs
two-stream-v11,libero_spatial,agentview_rgb,abd_prime,0.3,475,0.4928406234378108,0.30054322460686705,0.5454644928329139,-0.42195121951219516,0.9731092436974791,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_131634_fracs
two-stream-v11,libero_spatial,agentview_rgb,abd_prime,0.5,475,0.46747222568173047,0.2869175550270577,0.5020392605298265,-0.399982924955178,0.9466026410564226,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_131634_fracs
two-stream-v11,libero_spatial,agentview_rgb,abd_prime,1.0,475,0.5308120149962362,0.297102824895328,0.6400882930681842,-0.4823172916169095,0.916736516880426,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_125834
two-stream-v11,libero_spatial,agentview_rgb,abd_prime,1.0,475,0.5308120149962362,0.297102824895328,0.6400882930681842,-0.4823172916169095,0.916736516880426,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_131634_fracs
two-stream-v11,libero_spatial,agentview_rgb,b_only,0.15,475,0.4591903955250821,0.29960898937623537,0.49610389610389616,-0.4680971202710334,0.9926470588235295,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_134233_v11bonly_fracs
two-stream-v11,libero_spatial,agentview_rgb,b_only,0.3,475,0.4141851325623393,0.2989496125790504,0.4381223328591749,-0.3822108124433706,0.9200404858299595,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_134233_v11bonly_fracs
two-stream-v11,libero_spatial,agentview_rgb,b_only,0.5,475,0.5112915790258626,0.2894289076651516,0.5602667407613227,-0.42658032685784764,0.9723061748378203,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_134233_v11bonly_fracs
two-stream-v11,libero_spatial,agentview_rgb,b_only,1.0,475,0.5235257050103803,0.20052386061930103,0.5554269771574917,-0.2384444110055883,0.9042712704650823,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_134233_v11bonly_fracs
two-stream-v11,libero_spatial,agentview_rgb,d_prime_only,0.15,475,0.4467042743065513,0.37283224081695626,0.5,-0.509090909090909,0.9859649122807018,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_spatial,agentview_rgb,d_prime_only,0.3,475,0.4550859353607139,0.3051103568094646,0.4896214896214896,-0.46866791744840525,0.9621848739495799,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_spatial,agentview_rgb,d_prime_only,0.5,475,0.434442242999204,0.2948548767644222,0.47066805012371304,-0.4881940385739335,0.9380280337941629,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_spatial,agentview_rgb,d_prime_only,1.0,475,0.5018834263780702,0.31807634502650645,0.612030537030537,-0.52488058275615,0.9106971989430431,165.0999999999999,500,475,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_spatial_20260430_134233_v11dprimeonly_fracs
vc1,libero_goal,agentview_rgb,,0.15,476,0.884287491301195,0.18682509578207238,0.9713656313211253,-0.06813186813186813,1.0,204.0,500,476,,vc1_libero_goal_20260430_131934_fracs
vc1,libero_goal,agentview_rgb,,0.3,476,0.8565941196128367,0.1729159466466447,0.9330983260496264,0.08968678380443086,0.9995388387196161,204.0,500,476,,vc1_libero_goal_20260430_131934_fracs
vc1,libero_goal,agentview_rgb,,0.5,476,0.8669671754876339,0.14094735615464357,0.9106824189453389,0.09197278911564626,0.9980368468740562,204.0,500,476,,vc1_libero_goal_20260430_131934_fracs
vc1,libero_goal,agentview_rgb,,1.0,476,0.7681723197694793,0.17512302299575166,0.8045838755242007,0.08231531982806341,0.9948088148350075,204.0,500,476,,vc1_libero_goal_20260430_130134
vc1,libero_goal,agentview_rgb,,1.0,476,0.7681723197694793,0.17512302299575166,0.8045838755242007,0.08231531982806341,0.9948088148350075,204.0,500,476,,vc1_libero_goal_20260430_131934_fracs
vc1,libero_object,agentview_rgb,,0.15,476,0.8761069248750207,0.13964525234629446,0.9218379446640317,-0.054695562435500514,1.0,179.0,500,476,,vc1_libero_object_20260430_131634_fracs
vc1,libero_object,agentview_rgb,,0.3,476,0.9033669382941412,0.10875712102035717,0.9415951840327419,0.24724489795918367,0.9987035086297708,179.0,500,476,,vc1_libero_object_20260430_131634_fracs
vc1,libero_object,agentview_rgb,,0.5,476,0.9163866234592276,0.04924488105991232,0.9251753106305594,0.7170688172745182,0.9944765211481539,179.0,500,476,,vc1_libero_object_20260430_131634_fracs
vc1,libero_object,agentview_rgb,,1.0,476,0.7269498338581327,0.10440799484918944,0.7337845147362079,0.3766397640321782,0.948502607851545,179.0,500,476,,vc1_libero_object_20260430_125834
vc1,libero_object,agentview_rgb,,1.0,476,0.7269498338581327,0.10440799484918944,0.7337845147362079,0.3766397640321782,0.948502607851545,179.0,500,476,,vc1_libero_object_20260430_131634_fracs
vc1,libero_spatial,agentview_rgb,,0.15,475,0.8512482255763715,0.18775417938718764,0.9254658385093169,0.029411764705882353,1.0,165.0999999999999,500,475,,vc1_libero_spatial_20260430_131634_fracs
vc1,libero_spatial,agentview_rgb,,0.3,475,0.8616772260905442,0.17942977535021615,0.9474972191323694,0.015403782998859064,0.9987804878048784,165.0999999999999,500,475,,vc1_libero_spatial_20260430_131634_fracs
vc1,libero_spatial,agentview_rgb,,0.5,475,0.8998740468347526,0.12467633813893413,0.9402448730517433,-0.1333950046253469,0.9986815872403373,165.0999999999999,500,475,,vc1_libero_spatial_20260430_131634_fracs
vc1,libero_spatial,agentview_rgb,,1.0,475,0.9045401416265612,0.07473917815058746,0.9294372294372294,0.5018899476400388,0.9969779851959526,165.0999999999999,500,475,,vc1_libero_spatial_20260430_125834
vc1,libero_spatial,agentview_rgb,,1.0,475,0.9045401416265612,0.07473917815058746,0.9294372294372294,0.5018899476400388,0.9969779851959526,165.0999999999999,500,475,,vc1_libero_spatial_20260430_131634_fracs
videomae-ours,libero_goal,agentview_rgb,,0.15,476,0.8649761737758023,0.18565384628222537,0.951098901098901,-0.11785714285714284,1.0,204.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_131833_fracs
videomae-ours,libero_goal,agentview_rgb,,0.3,476,0.773414075988234,0.2393707131732043,0.8584829686442589,-0.3949233209941829,1.0,204.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_131833_fracs
videomae-ours,libero_goal,agentview_rgb,,0.5,476,0.6961659988032547,0.2632184825938816,0.7814892880417075,-0.4410322814120361,0.9886201991465149,204.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_131833_fracs
videomae-ours,libero_goal,agentview_rgb,,1.0,476,0.6539279115999369,0.23964761479202998,0.6696602284435039,-0.39050628185263314,0.9882357084991723,204.0,500,476,/proj/external_group/mrg/checkpoints/videomae/20260415_012017/best_model.pt,videomae-ours_libero_goal_20260430_130033
